Name	Group	Profile	Enabled	Action	Override	Program	Local Address	Remote Address	Protocol	Local Port	Remote Port	Authorized Computers	Authorized Local Principals	Local User Owner	Application Package	
Desktop App Web Viewer	Desktop App Web Viewer	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	T1\Administrator	microsoft.win32webviewhost_cw5n1h2txyewy	
Connected User Experiences and Telemetry	DiagTrack	All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	Any	443	Any	Any	Any	Any	
Distributed Transaction Coordinator (TCP-Out)	Distributed Transaction Coordinator	All	No	Allow	No	%SystemRoot%\system32\msdtc.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	
All Outgoing (TCP)	DNS Service	All	Yes	Allow	No	%systemroot%\System32\dns.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	
All Outgoing (UDP)	DNS Service	All	Yes	Allow	No	%systemroot%\System32\dns.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	
Email and accounts	Email and accounts	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	T1\Administrator	microsoft.accountscontrol_cw5n1h2txyewy	
File and Printer Sharing (Echo Request - ICMPv4-Out)	File and Printer Sharing	All	Yes	Allow	No	System	Any	Any	ICMPv4	Any	Any	Any	Any	Any	Any	
File and Printer Sharing (Echo Request - ICMPv6-Out)	File and Printer Sharing	All	Yes	Allow	No	System	Any	Any	ICMPv6	Any	Any	Any	Any	Any	Any	
File and Printer Sharing (LLMNR-UDP-Out)	File and Printer Sharing	All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Local subnet	UDP	Any	5355	Any	Any	Any	Any	
File and Printer Sharing (NB-Datagram-Out)	File and Printer Sharing	All	Yes	Allow	No	System	Any	Any	UDP	Any	138	Any	Any	Any	Any	
File and Printer Sharing (NB-Name-Out)	File and Printer Sharing	All	Yes	Allow	No	System	Any	Any	UDP	Any	137	Any	Any	Any	Any	
File and Printer Sharing (NB-Session-Out)	File and Printer Sharing	All	Yes	Allow	No	System	Any	Any	TCP	Any	139	Any	Any	Any	Any	
File and Printer Sharing (SMB-Out)	File and Printer Sharing	All	Yes	Allow	No	System	Any	Any	TCP	Any	445	Any	Any	Any	Any	
iSCSI Service (TCP-Out)	iSCSI Service	All	No	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	
mDNS (UDP-Out)	mDNS	Public	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Local subnet	UDP	Any	5353	Any	Any	Any	Any	
mDNS (UDP-Out)	mDNS	Private	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Local subnet	UDP	Any	5353	Any	Any	Any	Any	
mDNS (UDP-Out)	mDNS	Domain	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	UDP	Any	5353	Any	Any	Any	Any	
Narrator QuickStart	Narrator QuickStart	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	T1\Administrator	microsoft.windows.narratorquickstart_8wekyb3d8bbwe	
Network Discovery (LLMNR-UDP-Out)	Network Discovery	Domain, Public	No	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Local subnet	UDP	Any	5355	Any	Any	Any	Any	
Network Discovery (LLMNR-UDP-Out)	Network Discovery	Private	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Local subnet	UDP	Any	5355	Any	Any	Any	Any	
